角色类型,物种,Seed,DEBUGGING,PATIENCE,CHAOS,WISDOM,SNARK,描述
Legendary,cactus,9zpg44f81y,62,66,100,48,68,A legendary cactus of few words.
Legendary,blob,f2381t95tp,100,63,40,69,83,A legendary blob of few words.
Legendary,cactus,m13c24bidr,61,56,100,79,52,A legendary cactus of few words.
Legendary,duck,e9qmumx4u2,69,42,76,83,100,A legendary duck of few words.
Legendary,capybara,epgw2evu00,83,100,51,55,70,A legendary capybara of few words.
Legendary,mushroom,jrhuoj64at,66,52,100,64,79,A legendary mushroom of few words.
Legendary,penguin,fevh7b3b7m,50,68,74,100,56,A legendary penguin of few words.
Legendary,robot,ckqnbdald6,78,41,74,57,100,A legendary robot of few words.
Legendary,snail,woa973bv8x,100,43,78,76,52,A legendary snail of few words.
Legendary,chonk,nbo4gfjycw,100,83,44,81,67,A legendary chonk of few words.
Legendary,axolotl,5soesu7zbc,62,100,54,58,60,A legendary axolotl of few words.
Legendary,capybara,bcttsgy3bw,100,82,59,88,51,A legendary capybara of few words.
Legendary,blob,vrb7h293jd,41,82,100,62,78,A legendary blob of few words.
Legendary,owl,4jv1fi0kml,100,50,60,78,54,A legendary owl of few words.
Legendary,rabbit,n5ak59st62,77,49,84,61,100,A legendary rabbit of few words.
Legendary,penguin,u688ekrh0o,41,100,76,68,51,A legendary penguin of few words.
Legendary,chonk,l1ts9qeiy8,43,100,51,53,85,A legendary chonk of few words.
Legendary,turtle,79wjxqy9ek,100,50,89,63,46,A legendary turtle of few words.
Legendary,cactus,k83c12jwto,82,49,100,75,88,A legendary cactus of few words.
Legendary,turtle,6upx113s7z,70,78,45,76,100,A legendary turtle of few words.
Legendary,cactus,opdss2diz8,82,77,40,100,66,A legendary cactus of few words.
Legendary,chonk,szbh4wbvun,100,80,72,67,42,A legendary chonk of few words.
Legendary,penguin,foo5g7zoj9,72,100,53,82,64,A legendary penguin of few words.
Legendary,turtle,16g96420aa,43,62,77,100,50,A legendary turtle of few words.
Legendary,owl,6sbeyfh2q6,84,53,100,63,58,A legendary owl of few words.
Legendary,blob,9tnw3dzveq,47,75,89,100,67,A legendary blob of few words.
Legendary,owl,o3z0n0n0vp,48,88,100,83,75,A legendary owl of few words.
Legendary,penguin,7k1ipgvd0v,81,58,62,100,49,A legendary penguin of few words.
Legendary,duck,ebdg999eg4,80,81,58,100,46,A legendary duck of few words.
Legendary,mushroom,on8v9wai2k,73,100,51,86,70,A legendary mushroom of few words.
Legendary,axolotl,tk806ysrif,54,70,81,100,51,A legendary axolotl of few words.
Legendary,owl,w8rthpcens,100,50,50,50,86,A legendary owl of few words.
